DATE,OPEN,HIGH,LOW,CLOSE,VOL
2016-06-06,143.995,144.005,141.864,143.559,895129.21972964
2016-06-07,143.638,145.264,142.776,144.937,1189213.5921122
2016-06-08,144.729,147.306,144.709,146.652,1936800.2694236
2016-06-09,147.009,150.439,147.009,149.784,2805681.9716761
2016-06-10,147.98,148.694,145.889,146.196,1011291.5582137
2016-06-13,145.69,148.139,145.69,145.75,927789.56892991
2016-06-14,145.938,146.711,144.362,145.819,1088123.4761819
2016-06-15,146.127,148.307,145.928,146.821,907298.16562792
2016-06-16,145.671,147.395,145.016,147.118,986047.77953852
2016-06-17,146.751,148.129,145.671,147.723,1084006.6339196
2016-06-20,148.843,150.31,148.466,148.694,737577.53520723
2016-06-21,148.674,149.388,147.068,147.614,844129.20075977
2016-06-22,147.733,148.377,146.315,146.374,749997.6680017
2016-06-23,147.614,148.238,146.89,148.07,869595.92041509
2016-06-24,144.322,149.071,144.243,147.693,1831932.2622234
2016-06-27,146.92,148.813,145.462,146.959,2346410.4383967
2016-06-28,148.01,150.201,147.455,150.022,1604775.5791073
2016-06-29,151.053,154.612,151.053,153.869,1633102.1977614
2016-06-30,153.879,154.533,152.421,154.473,829024.69715909
2016-07-01,154.989,157.427,154.612,157.07,917125.7268433
2016-07-05,155.286,156.406,153.214,154.037,789089.00701392
2016-07-06,153.918,154.771,153.294,154.295,1215850.4997176
2016-07-07,154.384,155.425,152.957,153.978,703597.69821496
2016-07-08,155.118,157.953,154.523,157.576,953326.90337532
2016-07-11,157.576,158.944,156.347,156.456,710714.66027352
2016-07-12,157.239,157.636,155.365,156.317,900068.21990522
2016-07-13,156.892,157.457,153.432,155.722,948118.55821468
2016-07-14,156.228,158.151,155.266,157.675,601997.13823059
2016-07-15,158.141,158.458,157.13,157.318,708511.47882265
2016-07-18,157.636,157.636,156.704,157.14,540719.64095419
2016-07-19,155.94,156.525,154.503,156.466,895530.71525045
2016-07-20,157.338,157.338,156.188,156.505,466010.20181957
2016-07-21,156.258,157.1,155.792,156.833,439989.66045338
2016-07-22,157.437,158.855,156.942,158.676,613190.59124289
2016-07-25,158.647,159.38,158.072,159.281,526259.74950878
2016-07-26,159.549,160.659,158.339,158.855,918671.1819636
2016-07-27,159.618,160.213,157.209,157.457,874825.45001276
2016-07-28,157.398,165.229,157.15,162.8,1837573.3751691
2016-07-29,162.473,162.751,161.036,162.334,1432643.9579964
2016-08-01,161.769,162.067,160.609,161.036,884046.73281606
2016-08-02,160.709,161.016,158.042,159.222,922656.88247293
2016-08-03,159.063,161.194,157.695,161.184,622040.64200685
2016-08-04,160.917,162.84,160.847,162.651,1153707.4668712
2016-08-05,162.949,164.337,162.671,162.939,1140801.1008079
2016-08-08,162.939,163.732,161.283,161.402,1163391.780941
2016-08-09,161.283,162.057,158.914,159.122,536913.50376823
2016-08-10,159.192,160.044,158.25,159.261,877176.92252282
2016-08-11,160.352,162.879,159.271,159.321,867786.1642233
2016-08-12,158.726,159.122,156.258,158.657,1219168.3860692
2016-08-15,159.36,162.374,158.23,160.312,1940477.282422
2016-08-16,154.83,158.092,153.234,153.294,3171090.3083997
2016-08-17,152.917,153.313,149.983,151.063,2078819.7264739
2016-08-18,151.499,151.787,149.695,150.459,1434136.9564155
2016-08-19,150.012,152.639,150.012,151.063,1193290.083066
2016-08-22,151.916,153.829,151.063,151.47,1203393.0419627
2016-08-23,152.302,152.828,150.786,150.964,1042333.8199381
2016-08-24,151.886,156.714,151.886,153.254,1828526.6117756
2016-08-25,152.957,153.799,151.896,153.085,820394.56102713
2016-08-26,152.61,153.502,149.279,149.884,1002893.4421063
2016-08-29,149.884,151.39,149.775,150.696,575588.2155189
2016-08-30,151.004,151.004,149.16,149.725,756574.93130741
2016-08-31,149.844,150.885,148.991,150.419,731874.88651595
2016-09-01,151.202,152.54,150.776,151.747,755112.19636979
